sem 0: 	major: ['Letters & Sci Undeclared']: 	1B Mathematics-A 	1 Cognitive Science-A 	98 Education-Credit 	1A Chemistry-A 	1AL Chemistry-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	1B Biology-A 	1 Italian Studies-A 	10 Computer Science-A 	3AL Chemistry-A 	3A Chemistry-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	3B Chemistry-A 	2 Italian Studies-Credit 	61A Computer Science-A 	R5B Scandinavian-A 	3BL Chemistry-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	70 Computer Science-A 	sem 4: 	major: ['Cognitive Science']: 	3 Italian Studies-A 	132 Philosophy-B 	61B Computer Science-A 	197 Education-Credit 	C127 Cognitive Science-A 	140AC Education-A 	sem 5: 	major: ['Cognitive Science']: 	1AL Biology-A 	1A Biology-A 	9F Computer Science-Credit 	C100 Cognitive Science-A 	100 Linguistics-A 	4 Italian Studies-A 	C61 Molecular & Cell Biology-A 	sem 6: 	major: ['Cognitive Science']: 	131 Integrative Biology-A 	131L Integrative Biology-A 	N140 Psychology-A 	sem 7: 	major: ['Cognitive Science']: 	61C Computer Science-A 	8A Physics-A 	131 Cognitive Science-A 	188 Computer Science-A 	198 Computer Science-Credit 	133 Psychology-A 
label: 	['12 Italian Studies', '186 Computer Science', '8B Physics', '160 Computer Science']
label: 	['1B Chemistry', '5 History', '54 Mathematics', 'C85 Mechanical Engineering']
predict: 	['10B Mathematics', 'H54 Mathematics', '16B Mathematics', '16A Mathematics', '12A Philosophy', '5 Linguistics', '1B Biology', 'C3 Economics', '10 Business Admin-Undergrad', '60 Civil & Environmental Eng']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	98 Molecular & Cell Biology-Credit 	11 Physical Education-Credit 	1A Mathematics-C 	1AL Chemistry-B 	98 Mathematics-Credit 	1A Chemistry-C 	sem 1: 	major: ['Letters & Sci Undeclared']: 	10 Computer Science-A 	98 Molecular & Cell Biology-Credit 	11 Physical Education-Credit 	1 Economics-C 	R1B English-B 	sem 2: 	major: ['Letters & Sci Undeclared']: 	50AC Env Sci, Policy, & Mgmt-B 	C62 Molecular & Cell Biology-B 	54 Mathematics-No Credit 	61A Computer Science-B 
label: 	['198 Computer Science', 'R1A English', '1B Mathematics', '70 Computer Science']
predict: 	['10B Mathematics', 'H54 Mathematics', '12A Philosophy', '5 Linguistics', 'C3 Economics', 'C1 Environ Econ & Policy', 'W1 Psychology', '10 Business Admin-Undergrad', 'W21 Statistics', '3 German']
correct: 	[]

sem 0: 	major: ['Electrical Eng & Comp Sci']: 	61A Computer Science-A 	1B Mathematics-C 	7A Physics-B 	sem 1: 	major: ['Electrical Eng & Comp Sci']: 	53 Mathematics-C 	7B Physics-C 	61B Computer Science-B 	50AC Geography-No Credit 	sem 2: 	major: ['Electrical Eng & Comp Sci']: 	61C Computer Science-B 	16A Electrical Engineering-B 	R1A African American Studies-B 
label: 	['70 Computer Science', '16B Electrical Engineering', 'R5B South Asian']
predict: 	['10B Mathematics', '1B Mathematics', 'H54 Mathematics', '55 Mathematics', '16B Mathematics', '1A Mathematics', '16A Mathematics', '32 Mathematics', '54 Mathematics', '8B Physics']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	16B Mathematics-A 	44 Env Sci, Policy, & Mgmt-Credit 	20 Statistics-B 	1 Sociology-B 	98 Asian American Studies-Credit 	sem 1: 	major: ['Letters & Sci Undeclared']: 	1 Economics-A 	C70V Letters & Science-Credit 	1 French-A 	50AC Geography-B 	sem 2: 	major: ['Letters & Sci Undeclared']: 	R2B Asian American Studies-B 	116 Public Health-No Credit 	2 French-A 	100B Economics-A 
label: 	['1B Mathematics', '100A Economics', '54 Mathematics', '122 Chinese']
predict: 	['53 Mathematics', '10B Mathematics', 'H54 Mathematics', '1B Mathematics', '55 Mathematics', '16B Mathematics', '1A Mathematics', '16A Mathematics', '32 Mathematics', '1A Biology']
correct: 	['1B Mathematics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	1X Chinese-A 	98 Physics-Credit 	27 Music-A 	1B Mathematics-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	98BC Physics-Credit 	98BC Mathematics-Credit 	2 Physical Education-Credit 	53 Mathematics-A 	R1A Rhetoric-B 	128 Music-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	R5B Anthropology-A 	98BC Mathematics-Credit 	198 Business Admin-Undergrad-Credit 	20 Statistics-B 	10 Computer Science-Credit 
label: 	['98BC Mathematics', '98 UGIS-UG Interdisc Studies', '41 Molecular & Cell Biology', '55 Mathematics', '2 Physical Education', '134 Statistics']
predict: 	['10B Mathematics', '1B Mathematics', '55 Mathematics', 'H54 Mathematics', '16B Mathematics', '1A Mathematics', '16A Mathematics', '32 Mathematics', '1A Biology', '54 Mathematics']
correct: 	['55 Mathematics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	98 Public Health-Credit 	98 Public Policy-Credit 	C10 Physics-A 	1 Economics-A 	20 Statistics-A 	116 Public Health-Credit 	sem 1: 	major: ['Letters & Sci Undeclared']: 	H53 Mathematics-C 	101A Economics-D 	134 Statistics-F 	R5B German-F 	sem 2: 	major: ['Letters & Sci Undeclared']: 	115 Economics-B 	C82 Earth & Planetary Science-B 	7A History-C 	98 Statistics-Credit 	134 Statistics-C 	101B Economics-A 
label: 	['R5B German', 'C103 Public Policy', '152 Economics', '136 Economics', '2 Physical Education']
predict: 	['12A Philosophy', 'C3 Economics', '5 Linguistics', 'W1 Psychology', '10 Business Admin-Undergrad', '3 German', '4B Environmental Design', '40 Plant Biology', '24 History', '40 Geography']
correct: 	[]

sem 0: 	major: ['EECS/MSE Joint Major']: 	134 Statistics-B 	137A Physics-B 	115 Engineering-B 	102 Materials Science & Eng-C 	sem 1: 	major: ['EECS/MSE Joint Major']: 	40 Electrical Engineering-B 	111 Materials Science & Eng-B 	103 Materials Science & Eng-B 	20 Electrical Engineering-B 	125 Materials Science & Eng-B 	sem 2: 	major: ['EECS/MSE Joint Major']: 	151 Electrical Eng & Computer Sci-C 	128AC Asian American Studies-Credit 	105 Electrical Engineering-B 	151LA Electrical Eng & Computer Sci-F 	130 Materials Science & Eng-C 
label: 	['104 Materials Science & Eng', '143 Electrical Engineering', '140 Electrical Engineering']
predict: 	['53 Mathematics', '10B Mathematics', '1B Mathematics', '55 Mathematics', 'H54 Mathematics', '1A Mathematics', '16B Mathematics', '16A Mathematics', '32 Mathematics', '54 Mathematics']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	W1 Letters & Science-Credit 	sem 1: 	major: ['Letters & Sci Undeclared']: 	98 Mathematics-Credit 	C10 Astronomy-B 	98 Film-Credit 	10 Computer Science-A 	1A Mathematics-A 	24 Industrial Eng & Ops Rsch-No Credit 
label: 	['61A Computer Science', '142 Music', '198 Computer Science', 'C8 Computer Science', '1B Mathematics', '88 Statistics']
predict: 	['53 Mathematics', '10B Mathematics', '55 Mathematics', 'H54 Mathematics', '1B Mathematics', '16B Mathematics', '16A Mathematics', '32 Mathematics', '1A Biology', '54 Mathematics']
correct: 	['1B Mathematics']

sem 0: 	major: ['Electrical Eng & Comp Sci']: 	50AC Env Sci, Policy, & Mgmt-A 	R1AN English-B 	24 Psychology-Credit 	sem 1: 	major: ['Electrical Eng & Comp Sci']: 	24 Computer Science-Credit 	61A Computer Science-B 	16A Electrical Engineering-A 	R1B Rhetoric-B 
label: 	['198 Computer Science', '114 Anthropology', '61B Computer Science', '16B Electrical Engineering']
predict: 	['53 Mathematics', '10B Mathematics', '55 Mathematics', 'H54 Mathematics', '1B Mathematics', '16B Mathematics', '1A Mathematics', '16A Mathematics', '32 Mathematics', '1A Biology']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	3AC Sociology-A 	R4A College Writing Programs-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	R4B College Writing Programs-A 	15 History of Art-A 	20U Theater Dance & Perf Stds-A 	1A Mathematics-A 
label: 	['28 Classics', '1 German', '1B Mathematics', '1AL Chemistry', '1A Chemistry']
predict: 	['10B Mathematics', '1B Mathematics', 'H54 Mathematics', '16B Mathematics', '16A Mathematics', '32 Mathematics', '54 Mathematics', '12A Philosophy', '8B Physics', '2 Statistics']
correct: 	['1B Mathematics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	39B Education-A 	50AC Env Sci, Policy, & Mgmt-A 	24 Psychology-Credit 	sem 1: 	major: ['Letters & Sci Undeclared']: 	C10 Astronomy-B 	61A Computer Science-A 	98 Mathematics-Credit 	1A Mathematics-A 
label: 	['197 Computer Science', '61B Computer Science', '2 Economics', '198 Computer Science', '190 Slavic Languages & Lit']
predict: 	['53 Mathematics', '10B Mathematics', '55 Mathematics', 'H54 Mathematics', '1B Mathematics', '16B Mathematics', '16A Mathematics', '32 Mathematics', '1A Biology', '54 Mathematics']
correct: 	[]

sem 0: 	major: ['Summer Session Undeclared']: 	70 Computer Science-A 	sem 1: 	major: ['Electrical Eng & Comp Sci']: 	16A Electrical Engineering-A 	98 Engineering-Credit 	R1A Near Eastern Studies-A 	61A Computer Science-A 
label: 	['16B Electrical Engineering', '7B Physics', '53 Mathematics']
predict: 	['53 Mathematics', '10B Mathematics', '1B Mathematics', '55 Mathematics', 'H54 Mathematics', '16B Mathematics', '1A Mathematics', '16A Mathematics', '32 Mathematics', '1A Biology']
correct: 	['53 Mathematics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	45 International & Area Stds-B 	C3 Economics-A 	179 Political Science-Credit 	190 Public Policy-B 	sem 1: 	major: ['Letters & Sci Undeclared']: 	130AC Sociology-Credit 	7A Physics-C 	98BC Env Sci, Policy, & Mgmt-Credit 	1B Mathematics-B 
label: 	['50 Earth & Planetary Science', '7B Physics', '53 Mathematics', '179 Political Science', '198BC Env Sci, Policy, & Mgmt']
predict: 	['53 Mathematics', '10B Mathematics', '55 Mathematics', '16B Mathematics', '1A Mathematics', 'H53 Mathematics', '16A Mathematics', '32 Mathematics', '1A Biology', '54 Mathematics']
correct: 	['53 Mathematics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	W1 Letters & Science-Credit 	sem 1: 	major: ['Letters & Sci Undeclared']: 	3 French-A 	98BC Music-Credit 	98BC Mathematics-Credit 	98BC Physics-Credit 	30 History-A 	H7A Physics-B 
label: 	['180 History', '24 Nuclear Engineering', '3AC Anthropology', 'H7B Physics', '53 Mathematics']
predict: 	['53 Mathematics', '10B Mathematics', '1B Mathematics', '55 Mathematics', 'H54 Mathematics', '16B Mathematics', '1A Mathematics', '16A Mathematics', '32 Mathematics', '54 Mathematics']
correct: 	['53 Mathematics']

sem 0: 	major: ['Environmental Sciences']: 	1A Chemistry-C 	1AL Chemistry-A 	1A Japanese-Credit 	R1A Comparative Literature-B 	10 Asian Studies-B 	sem 1: 	major: ['Environmental Sciences']: 	3A Chemistry-A 	1B Biology-B 	1B Mathematics-B 	R1B History of Art-B 	3AL Chemistry-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	50 Earth & Planetary Science-A 	53 Mathematics-B 	3BL Chemistry-A 	3B Chemistry-A 	7A Physics-B 
label: 	['102 Earth & Planetary Science', '7B Physics', '1A Biology', 'C116 Psychology', '1AL Biology']
predict: 	['10B Mathematics', '55 Mathematics', 'H54 Mathematics', '16B Mathematics', '1A Mathematics', '16A Mathematics', '32 Mathematics', '1A Biology', '54 Mathematics', '20 Statistics']
correct: 	['1A Biology']

sem 0: 	major: ['Chemical Engineering']: 	1B Mathematics-A 	1 French-A 	sem 1: 	major: ['Chemical Engineering']: 	40 Chemical Engineering-A 	7A Physics-B 	53 Mathematics-A 	4A Chemistry-A 
label: 	['7B Physics', '4B Chemistry', 'R1A Comparative Literature', '7 Engineering']
predict: 	['10B Mathematics', '1B Mathematics', '55 Mathematics', 'H54 Mathematics', '16B Mathematics', '1A Mathematics', '16A Mathematics', '32 Mathematics', '1A Biology', '54 Mathematics']
correct: 	[]

sem 0: 	major: ['Engineering Undeclared']: 	98 Education-Credit 	24 Psychology-Credit 	50AC Geography-A 	sem 1: 	major: ['Engineering Undeclared']: 	C50 Buddhist Studies-B 	1A Chemistry-B 	92 Engineering-Credit 	98 Engineering-Credit 	1B Mathematics-B 	1AL Chemistry-A 
label: 	['53 Mathematics', '61A Computer Science', '32 Integrative Biology', '7A Physics']
predict: 	['53 Mathematics', '10B Mathematics', '55 Mathematics', 'H54 Mathematics', '16B Mathematics', '1A Mathematics', '16A Mathematics', '32 Mathematics', '1A Biology', '54 Mathematics']
correct: 	['53 Mathematics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	50AC Env Sci, Policy, & Mgmt-A 	24 Psychology-Credit 	32 Mathematics-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	1AL Chemistry-B 	1A Chemistry-Credit 	4A African American Studies-A 	24 Natural Resources-Credit 	1A Mathematics-A 
label: 	['10 Computer Science', '1B Biology', '1B Mathematics']
predict: 	['53 Mathematics', '10B Mathematics', 'H54 Mathematics', '1B Mathematics', '16B Mathematics', '16A Mathematics', '32 Mathematics', '54 Mathematics', '12A Philosophy', '2 Statistics']
correct: 	['1B Mathematics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	1A Mathematics-A 	C70T Letters & Science-Credit 	10 Computer Science-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	R1A College Writing Programs-B 	61A Computer Science-B 	1B Mathematics-C 
label: 	['1 Environmental Design', '1 German', '198 Nutritional Science & Tox']
predict: 	['10B Mathematics', 'H54 Mathematics', '16B Mathematics', '1A Mathematics', '16A Mathematics', '12A Philosophy', '2 Statistics', 'C3 Economics', '1B Biology', '40 Mechanical Engineering']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	R5B Anthropology-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	1 Economics-B 	61A Computer Science-B 	10X Japanese-A 	7A Japanese-A 	100AX Korean-A 
label: 	['20 Statistics', '198 Computer Science', '102 Korean', '100X Japanese', '10 Business Admin-Undergrad']
predict: 	['53 Mathematics', '10B Mathematics', '55 Mathematics', 'H54 Mathematics', '1B Mathematics', '16B Mathematics', '1A Mathematics', '16A Mathematics', '32 Mathematics', '1A Biology']
correct: 	[]

sem 0: 	major: ['Bioengineering']: 	R1A Spanish-A 	10 Bioengineering-A 	24 Bioengineering-Credit 	3 Physical Education-Credit 	1A Chemistry-A 	1AL Chemistry-A 
label: 	['4 Physical Education', '3AL Chemistry', '25 Bioengineering', '7 Engineering', '3A Chemistry', '53 Mathematics', '25 Spanish']
predict: 	['53 Mathematics', '10B Mathematics', '55 Mathematics', '1B Mathematics', 'H54 Mathematics', '16B Mathematics', '1A Mathematics', '16A Mathematics', '32 Mathematics', '1A Biology']
correct: 	['53 Mathematics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	4A Chemistry-B 	98 Education-Credit 	30 Italian Studies-A 	7A Physics-B 	39C Slavic Languages & Lit-B 
label: 	['98 Cognitive Science', '4B Chemistry', '53 Mathematics', '141 Theater Dance & Perf Stds', '39 Theater Dance & Perf Stds']
predict: 	['53 Mathematics', '10B Mathematics', '1B Mathematics', '55 Mathematics', 'H54 Mathematics', '16B Mathematics', '1A Mathematics', '16A Mathematics', '32 Mathematics', '1A Biology']
correct: 	['53 Mathematics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	179 Political Science-Credit 	134 Statistics-B 	1 Political Science-A 	40 Env Sci, Policy, & Mgmt-A 	61A Computer Science-B 
label: 	['C175 Demography', '53 Mathematics', '160 History', '10 Business Admin-Undergrad', '1 Economics']
predict: 	['53 Mathematics', '10B Mathematics', '55 Mathematics', 'H54 Mathematics', '1B Mathematics', '16B Mathematics', '1A Mathematics', '16A Mathematics', '32 Mathematics', '1A Biology']
correct: 	['53 Mathematics']

sem 0: 	major: ['CNR Undeclared']: 	1A Mathematics-A 	40 Chemical Engineering-A 	2 Env Sci, Policy, & Mgmt-A 	4A Chemistry-B 
label: 	['4B Chemistry', '7A Physics', '1B Mathematics', '7 Engineering']
predict: 	['53 Mathematics', '10B Mathematics', '1B Mathematics', '55 Mathematics', 'H54 Mathematics', '16B Mathematics', '1A Mathematics', '16A Mathematics', '32 Mathematics', '1A Biology']
correct: 	['1B Mathematics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	1A Mathematics-A 	C10 Astronomy-A 	98 Theater Dance & Perf Stds-Credit 	1 Political Science-Credit 
label: 	['11 Philosophy', '1 Economics', '1B Mathematics', '20 Statistics']
predict: 	['53 Mathematics', '10B Mathematics', '1B Mathematics', '55 Mathematics', 'H54 Mathematics', '16B Mathematics', '1A Mathematics', '16A Mathematics', '32 Mathematics', '1A Biology']
correct: 	['1B Mathematics']

sem 0: 	major: ['Chemical Biology']: 	96 Chemistry-Credit 	4A Chemistry-A 	7A Physics-B 	1B Mathematics-A 
label: 	['7B Physics', 'R1B History of Art', '4B Chemistry', '53 Mathematics']
predict: 	['53 Mathematics', '10B Mathematics', '1B Mathematics', '55 Mathematics', 'H54 Mathematics', '16B Mathematics', '1A Mathematics', '16A Mathematics', '32 Mathematics', '1A Biology']
correct: 	['53 Mathematics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	1 Physical Education-A 	R5A Slavic Languages & Lit-B 	24 Civil & Environmental Eng-A 	1A Mathematics-Credit 	61A Computer Science-B 
label: 	['100AC History', '1B Mathematics']
predict: 	['53 Mathematics', '10B Mathematics', '1B Mathematics', '55 Mathematics', 'H54 Mathematics', '16B Mathematics', '1A Mathematics', '16A Mathematics', '32 Mathematics', '1A Biology']
correct: 	['1B Mathematics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	1B Mathematics-A 	98 Chemistry-Credit 	C10 Astronomy-A 	R5A Slavic Languages & Lit-A 	98 Molecular & Cell Biology-Credit 	1 Economics-A 
label: 	['110 South Asian', '20 Statistics', '53 Mathematics', '61A Computer Science']
predict: 	['53 Mathematics', '10B Mathematics', '55 Mathematics', '1B Mathematics', 'H54 Mathematics', '16B Mathematics', '1A Mathematics', '16A Mathematics', '32 Mathematics', '1A Biology']
correct: 	['53 Mathematics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	10 Nutritional Science & Tox-B 	R1B Comparative Literature-B 	98 Computer Science-Credit 	1B Mathematics-B 	61A Computer Science-B 
label: 	['160B Letters & Science', '97 Computer Science', '25A Music', '53 Mathematics']
predict: 	['53 Mathematics', '10B Mathematics', '55 Mathematics', 'H54 Mathematics', '1B Mathematics', '16B Mathematics', '1A Mathematics', '16A Mathematics', '32 Mathematics', '1A Biology']
correct: 	['53 Mathematics']

sem 0: 	major: ['Bioengineering']: 	1A Mathematics-A 	R2B Asian American Studies-A 	10 Bioengineering-A 	1AL Chemistry-A 	24 Bioengineering-Credit 	1A Chemistry-A 
label: 	['1B Mathematics', '25 Bioengineering', '3A Chemistry', '3AL Chemistry', '61A Computer Science']
predict: 	['53 Mathematics', '10B Mathematics', '55 Mathematics', '1B Mathematics', 'H54 Mathematics', '16B Mathematics', '1A Mathematics', '16A Mathematics', '32 Mathematics', '1A Biology']
correct: 	['1B Mathematics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	24 Electrical Engineering-Credit 	98 Env Sci, Policy, & Mgmt-Credit 	61A Computer Science-A 	1A Mathematics-A 	R4B College Writing Programs-A 
label: 	['1B Mathematics', '20A Music', '3AC Anthropology', '97 Computer Science']
predict: 	['53 Mathematics', '10B Mathematics', '1B Mathematics', '55 Mathematics', 'H54 Mathematics', '16B Mathematics', '1A Mathematics', '16A Mathematics', '32 Mathematics', '1A Biology']
correct: 	['1B Mathematics']

sem 0: 	major: ['Bioengineering']: 	R1B English-A 	1A Chemistry-A 	24 Bioengineering-Credit 	1AL Chemistry-A 	10 Bioengineering-A 
label: 	['7 Engineering', '7A Physics', '25 Bioengineering', '1B Mathematics']
predict: 	['53 Mathematics', '10B Mathematics', '55 Mathematics', '1B Mathematics', 'H54 Mathematics', '16B Mathematics', '1A Mathematics', '16A Mathematics', '32 Mathematics', '1A Biology']
correct: 	['1B Mathematics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	7A History-A 	62 History of Art-A 	C10 Astronomy-A 	98BC Mathematics-Credit 
label: 	['96 Business Admin-Undergrad', '10 Business Admin-Undergrad', '1 Anthropology', '98 Electrical Engineering', '150 Psychology', '53 Mathematics']
predict: 	['53 Mathematics', '10B Mathematics', '55 Mathematics', '1B Mathematics', 'H54 Mathematics', '16B Mathematics', '1A Mathematics', '16A Mathematics', '32 Mathematics', '1A Biology']
correct: 	['53 Mathematics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	98 Computer Science-Credit 	1A Mathematics-A 	61A Computer Science-B 	100AC History-A 
label: 	['R1A Rhetoric', '198 Computer Science', '1B Mathematics']
predict: 	['53 Mathematics', '10B Mathematics', '55 Mathematics', '1B Mathematics', 'H54 Mathematics', '16B Mathematics', '1A Mathematics', '16A Mathematics', '32 Mathematics', '1A Biology']
correct: 	['1B Mathematics']

sem 0: 	major: ['Mechanical Engineering']: 	25 Engineering-A 	98 Public Health-Credit 	98 Physical Education-Credit 	98 Engineering-Credit 	R44 Classics-A 	1B Mathematics-A 
label: 	['53 Mathematics', '198 Computer Science', '7 Engineering', '2AC Anthropology', '98BC History', '7A Physics']
predict: 	['53 Mathematics', '10B Mathematics', '1B Mathematics', '55 Mathematics', 'H54 Mathematics', '16B Mathematics', '1A Mathematics', '16A Mathematics', '32 Mathematics', '1A Biology']
correct: 	['53 Mathematics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	27 Music-A 	16B Mathematics-A 	R5A South & SE Asian Studies-A 	25AC College Writing Programs-A 
label: 	['97 Social Welfare', '13 Plant Biology', '112 Public Health', '143 Music', '10B Chinese', '24 Social Welfare']
predict: 	['53 Mathematics', '10B Mathematics', '55 Mathematics', '1B Mathematics', '16B Mathematics', '1A Mathematics', 'H53 Mathematics', '16A Mathematics', '32 Mathematics', '1A Biology']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	23 Letters & Science-A 	98 Mathematics-Credit 	2 French-A 	1A Mathematics-A 	39D Legal Studies-A 
label: 	['7B History', '198 English', '98BC Mathematics', '1B Mathematics', '20 Statistics', '2 Economics']
predict: 	['53 Mathematics', '10B Mathematics', '55 Mathematics', 'H54 Mathematics', '1B Mathematics', '1A Mathematics', '16B Mathematics', '16A Mathematics', '32 Mathematics', '54 Mathematics']
correct: 	['1B Mathematics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	1 Economics-B 	1A Mathematics-B 	24 Ethnic Studies-Credit 	R1B Comparative Literature-B 
label: 	['61A Computer Science', '1B Mathematics', '28 Classics', '147A Slavic Languages & Lit']
predict: 	['53 Mathematics', '10B Mathematics', '55 Mathematics', '1B Mathematics', 'H54 Mathematics', '16B Mathematics', '1A Mathematics', '16A Mathematics', '32 Mathematics', '1A Biology']
correct: 	['1B Mathematics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	10 Theater Dance & Perf Stds-A 	1 Political Science-B 	5 History-A 
label: 	['1 Economics', '6B History', '127AC History', 'R1B Rhetoric', '88 Statistics']
predict: 	['53 Mathematics', '10B Mathematics', '55 Mathematics', '1B Mathematics', 'H54 Mathematics', '16B Mathematics', '1A Mathematics', '16A Mathematics', '32 Mathematics', '1A Biology']
correct: 	[]

sem 0: 	major: ['Electrical Eng & Comp Sci']: 	124A History-Credit 	61A Computer Science-A 	16A Electrical Engineering-A 
label: 	['10 Business Admin-Undergrad', '16B Electrical Engineering', '53 Mathematics']
predict: 	['53 Mathematics', '10B Mathematics', '1B Mathematics', '55 Mathematics', 'H54 Mathematics', '16B Mathematics', '1A Mathematics', '16A Mathematics', '32 Mathematics', '1A Biology']
correct: 	['53 Mathematics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	C62 Molecular & Cell Biology-B 	15 Env Sci, Policy, & Mgmt-Credit 	1A Mathematics-A 	20 Statistics-A 	98 Public Health-Credit 
label: 	['53 Mathematics', 'R1A College Writing Programs', '2 Economics', '1B Mathematics']
predict: 	['53 Mathematics', '10B Mathematics', '1B Mathematics', '55 Mathematics', 'H54 Mathematics', '16B Mathematics', '1A Mathematics', '16A Mathematics', '32 Mathematics', '1A Biology']
correct: 	['53 Mathematics', '1B Mathematics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	10 Computer Science-A 	98 Mathematics-Credit 	1AL Chemistry-No Credit 	1A Chemistry-No Credit 	1A Mathematics-A 
label: 	['61A Computer Science', '1 Sociology', '96 Business Admin-Undergrad', '1B Mathematics']
predict: 	['H54 Mathematics', '16B Mathematics', '12A Philosophy', 'C3 Economics', '1B Biology', '5 Linguistics', '40 Mechanical Engineering', 'W1 Psychology', '60 Civil & Environmental Eng', '10 Business Admin-Undergrad']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	1A Chemistry-Credit 	45A English-B 	7A Physics-C 	1AL Chemistry-A 	1B Mathematics-C 
label: 	['H7B Physics', '24 Nuclear Engineering', 'R1B Film', '53 Mathematics']
predict: 	['10B Mathematics', 'H54 Mathematics', '16B Mathematics', '16A Mathematics', '32 Mathematics', '12A Philosophy', 'C3 Economics', '5 Linguistics', '1B Biology', 'W1 Psychology']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	1A Mathematics-A 	1 Spanish-B 	20 Statistics-A 
label: 	['1 Economics', '2 Spanish', '1B Mathematics', '198 Psychology', '7B History', 'C101 Natural Resources']
predict: 	['53 Mathematics', '10B Mathematics', '1B Mathematics', '55 Mathematics', 'H54 Mathematics', '16B Mathematics', '1A Mathematics', '16A Mathematics', '32 Mathematics', '1A Biology']
correct: 	['1B Mathematics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	10 Computer Science-A 	R44 Classics-A 	C70V Letters & Science-A 	20 Statistics-A 
label: 	['10 Nutritional Science & Tox', '100A Economics', '198 Computer Science', '61A Computer Science', '6B History']
predict: 	['53 Mathematics', '10B Mathematics', '55 Mathematics', '1B Mathematics', 'H54 Mathematics', '16B Mathematics', '1A Mathematics', '16A Mathematics', '32 Mathematics', '1A Biology']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	55 Mathematics-A 	10 Peace & Conflict Studies-A 	25A Music-C 	82 UGIS-UG Interdisc Studies-A 
label: 	['R1B Comparative Literature', '88 Statistics', 'C8 Computer Science', '53 Mathematics']
predict: 	['53 Mathematics', '10B Mathematics', '1B Mathematics', '55 Mathematics', 'H54 Mathematics', '16B Mathematics', '1A Mathematics', '16A Mathematics', '32 Mathematics', '54 Mathematics']
correct: 	['53 Mathematics']

sem 0: 	major: ['Chemistry']: 	1B Mathematics-C 	121AC Anthropology-A 	96 Chemistry-Credit 	4A Chemistry-B 
label: 	['7A Physics', '4B Chemistry', 'R4B College Writing Programs', '53 Mathematics']
predict: 	['10B Mathematics', '1B Mathematics', '55 Mathematics', 'H54 Mathematics', '16B Mathematics', '1A Mathematics', '16A Mathematics', '32 Mathematics', '54 Mathematics', '3A Chemistry']
correct: 	[]

sem 0: 	major: ['Engineering Undeclared']: 	7A Physics-B 	101 Korean-A 	10 Engineering-A 	61A Computer Science-B 
label: 	['2 Economics', '142 Music', '61B Computer Science', '53 Mathematics', '98 German']
predict: 	['53 Mathematics', '10B Mathematics', '1B Mathematics', '55 Mathematics', '16B Mathematics', '1A Mathematics', 'H53 Mathematics', '16A Mathematics', '32 Mathematics', '1A Biology']
correct: 	['53 Mathematics']

sem 0: 	major: ['Mechanical Engineering']: 	98 English-Credit 	25 Engineering-B 	1AL Chemistry-A 	90 Design Innovation-A 	R1B History of Art-A 	1A Chemistry-A 
