sem 0: 	major: ['Letters & Sci Undeclared']: 	98 Education-Credit 	C50 Buddhist Studies-A 	24 English-Credit 	98 Music-Credit 	20A Music-A 	C70V Letters & Science-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	98 Education-Credit 	25A Music-A 	98 Music-Credit 	C103 Public Policy-A 	61 Interdisciplinary Studies-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	177 Dutch-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	100A Interdisciplinary Studies-A 	R5A South & SE Asian Studies-A 	115 Global Poverty & Practice-A 	sem 4: 	major: ['Letters & Sci Undeclared']: 	100 Legal Studies-A 	61 Molecular & Cell Biology-A 	C100 Development Studies-A 	R1B History of Art-A 	sem 5: 	major: ['Interdisciplinary Studies']: 	183 Anthropology-A 	1B Biology-A 	159AC Geography-A 	150 International & Area Stds-A 	sem 6: 	major: ['Interdisciplinary Studies']: 	8A Physics-B 	104 Gender & Womens Studies-Credit 	1A Chemistry-A 	1AL Chemistry-A 	158AC International & Area Stds-A 	sem 7: 	major: ['Interdisciplinary Studies']: 	189 Interdisciplinary Studies-A 	sem 8: 	major: ['Interdisciplinary Studies']: 	98 Mathematics-Credit 	3A Chemistry-A 	16A Mathematics-A 	123 Geography-A 	3AL Chemistry-A 
label: 	['105 Global Poverty & Practice', '3BL Chemistry', '1A Biology', '3B Chemistry', '1AL Biology']
predict: 	['132 Molecular & Cell Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '8B Physics', '104 Molecular & Cell Biology', '1A Chemistry', '136 Molecular & Cell Biology', '4A Chemistry', 'C112 Molecular & Cell Biology', '137 Integrative Biology']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	1A Chemistry-C 	1B Mathematics-C 	1AL Chemistry-B 	24 Integrative Biology-B 	R5B South & SE Asian Studies-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	1B Biology-B 	3A Chemistry-C 	3AC Sociology-A 	3AL Chemistry-A 	1 Psychology-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	11AC Ethnic Studies-A 	1AL Biology-B 	15 Molecular & Cell Biology-A 	1A Biology-B 	14 Public Health-A 	sem 3: 	major: ['L&S Public Health']: 	150D Public Health-A 	3B Chemistry-B 	C155 Public Health-B 	142 Public Health-A 
label: 	['150E Public Health', '150A Public Health', '101B Filipino', '102 Molecular & Cell Biology', '198 Ethnic Studies']
predict: 	['8B Physics', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '132 Integrative Biology', '1A Chemistry', '150 Molecular & Cell Biology', '8A Physics', '7A Physics', '100B Molecular & Cell Biology', '137B Physics']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	61A Computer Science-A 	24 Earth & Planetary Science-Credit 	1A Chemistry-A 	C140V Letters & Science-Credit 	1B Mathematics-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	3AL Chemistry-A 	20A Music-A 	98BC Physics-Credit 	53 Mathematics-A 	3A Chemistry-A 	7A Physics-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	W61 Molecular & Cell Biology-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	89 Physics-A 	H7B Physics-A 	3BL Chemistry-A 	3B Chemistry-A 
label: 	['1A Biology', '179 Anthropology', '1AL Biology', '50AC Env Sci, Policy, & Mgmt', 'H7C Physics']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '8B Physics', '104 Molecular & Cell Biology', '1A Chemistry', '150 Molecular & Cell Biology', '1AL Biology', '132 Integrative Biology', '1B Biology']
correct: 	['1A Biology', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	1AL Chemistry-A 	1A Chemistry-C 	1A Mathematics-C 	R1A College Writing Programs-B 	sem 1: 	major: ['Letters & Sci Undeclared']: 	98 Public Health-Credit 	1 College Writing Programs-Credit 	1B Biology-D 	3A Chemistry-B 	98 African American Studies-Credit 	R4B College Writing Programs-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	1B Biology-B 	N3AL Chemistry-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	3BL Chemistry-A 	3AC Anthropology-A 	3B Chemistry-A 	1A Biology-B 	1AL Biology-B 
label: 	['8A Physics', '1 Sociology', 'W1 Psychology', '1B Mathematics']
predict: 	['110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '8B Physics', '104 Molecular & Cell Biology', '1A Chemistry', '150 Molecular & Cell Biology', '132 Integrative Biology', '7A Physics', '100B Molecular & Cell Biology', '7B Physics']
correct: 	[]

sem 0: 	major: ['Nutritional Science']: 	98 Astronomy-Credit 	10 Nutritional Science & Tox-A 	R1A Comparative Literature-B 	1AL Chemistry-A 	1A Chemistry-C 	98 Physical Education-Credit 	sem 1: 	major: ['Nutritional Science']: 	R1B Film-A 	3A Chemistry-A 	132AC Asian American Studies-Credit 	98 Molecular & Cell Biology-Credit 	16A Mathematics-A 	sem 2: 	major: ['Nutritional Science']: 	N3AL Chemistry-A 	1B Biology-B 	sem 3: 	major: ['Nutritional Science']: 	3B Chemistry-B 	32 Molecular & Cell Biology-B 	16B Mathematics-B 	3BL Chemistry-A 	32L Molecular & Cell Biology-B 
label: 	['1AL Biology', '1 Sociology', '196 Business Admin-Undergrad', '104 Nutritional Science & Tox', '1A Biology']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '8B Physics', '104 Molecular & Cell Biology', '150 Molecular & Cell Biology', '1AL Biology', '1A Chemistry', '132 Integrative Biology', '7A Physics']
correct: 	['1A Biology', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	1A Chemistry-A 	1B Mathematics-B 	1 Sociology-A 	1AL Chemistry-A 	98 Psychology-Credit 	sem 1: 	major: ['Letters & Sci Undeclared']: 	97 Education-Credit 	3AL Chemistry-A 	1B Biology-B 	7B Korean-A 	1 Psychology-A 	3A Chemistry-B 	sem 2: 	major: ['Letters & Sci Undeclared']: 	53 Mathematics-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	R5A German-A 	3B Chemistry-B 	3BL Chemistry-A 	116 Public Health-Credit 	8A Physics-B 	2 Physical Education-Credit 
label: 	['1AL Biology', '124B History', '1A Biology', '8B Physics']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '8B Physics', '104 Molecular & Cell Biology', '1A Chemistry', '150 Molecular & Cell Biology', '1AL Biology', '132 Integrative Biology', '7A Physics']
correct: 	['1A Biology', '8B Physics', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	C62 Molecular & Cell Biology-A 	98 Molecular & Cell Biology-Credit 	90B Molecular & Cell Biology-Credit 	1A Mathematics-A 	1A Chemistry-A 	1AL Chemistry-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	3AC Sociology-B 	98 Public Health-Credit 	16B Mathematics-A 	116 Public Health-Credit 	10 Business Admin-Undergrad-A 	3A Chemistry-A 	3AL Chemistry-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	3BL Chemistry-A 	3B Chemistry-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	8A Physics-A 	1AL Biology-A 	98 Public Health-Credit 	1A Biology-B 	1 Psychology-A 
label: 	['1B Biology', '3AC Anthropology', '8B Physics', 'C61 Molecular & Cell Biology']
predict: 	['110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '8B Physics', '1A Chemistry', '150 Molecular & Cell Biology', '7A Physics', '132 Integrative Biology', '1B Biology', '100B Molecular & Cell Biology']
correct: 	['8B Physics', '1B Biology']

sem 0: 	major: ['Sustainable Environ Dsgn']: 	10 Nutritional Science & Tox-A 	3AC Anthropology-A 	1A Chemistry-B 	1AL Chemistry-A 	52AC Theater Dance & Perf Stds-A 	sem 1: 	major: ['Sustainable Environ Dsgn']: 	98 Psychology-Credit 	R1A College Writing Programs-B 	2 French-Credit 	3A Chemistry-A 	3AL Chemistry-A 	sem 2: 	major: ['Sustainable Environ Dsgn']: 	3BL Chemistry-A 	3B Chemistry-A 	sem 3: 	major: ['Sustainable Environ Dsgn']: 	1AL Biology-B 	1A Biology-B 	R1B Linguistics-A 	32 Molecular & Cell Biology-A 	98 Sociology-Credit 	32L Molecular & Cell Biology-B 	1 Physical Education-Credit 
label: 	['C160 Public Health', '2 Statistics', '98 Integrative Biology', '1 Economics']
predict: 	['110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '8B Physics', '1A Chemistry', '150 Molecular & Cell Biology', '132 Integrative Biology', '7A Physics', '1B Biology', '100B Molecular & Cell Biology']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	7A Physics-A 	54 Mathematics-A 	1A Chemistry-A 	1AL Chemistry-A 	1 Political Science-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	61A Computer Science-A 	98 Economics-Credit 	53 Mathematics-A 	98 Computer Science-Credit 	7B Physics-A 	20 Electrical Engineering-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	40 Electrical Engineering-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	70 Computer Science-A 	R1A English-A 	3A Chemistry-A 	61B Computer Science-A 	1B Biology-A 	3AL Chemistry-A 
label: 	['170 Computer Science', '375 Computer Science', '3BL Chemistry', '3B Chemistry', 'R1B English', '61C Computer Science', '1AL Biology', '1A Biology']
predict: 	['1A Biology', '110 Molecular & Cell Biology', '3B Chemistry', '104 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '8B Physics', '1A Chemistry', '150 Molecular & Cell Biology', '1AL Biology', '132 Integrative Biology']
correct: 	['1A Biology', '3B Chemistry', '1AL Biology']

sem 0: 	major: ['Environmental Sciences']: 	16A Mathematics-C 	1A Chemistry-C 	12 Landscape Arch & Env Plan-A 	1AL Chemistry-A 	24 Env Sci, Policy, & Mgmt-Credit 	24 Comparative Literature-Credit 	sem 1: 	major: ['Environmental Sciences']: 	24 Rhetoric-Credit 	28 Classics-A 	3AL Chemistry-A 	3A Chemistry-A 	16B Mathematics-C 	sem 2: 	major: ['Environmental Sciences']: 	3BL Chemistry-A 	3B Chemistry-A 	sem 3: 	major: ['Environmental Sciences']: 	1 German-A 	50AC Env Sci, Policy, & Mgmt-A 	1A Biology-B 	1AL Biology-C 
label: 	['112 Env Sci, Policy, & Mgmt', '1B Biology', '2 German']
predict: 	['8B Physics', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '150 Molecular & Cell Biology', '1A Chemistry', '132 Integrative Biology', '1B Biology', '8A Physics', '7A Physics', '140 Integrative Biology']
correct: 	['1B Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	R1B Celtic Studies-A 	1AL Chemistry-B 	24 Near Eastern Studies-A 	10A Mathematics-B 	1A Chemistry-B 	sem 1: 	major: ['Letters & Sci Undeclared']: 	24 Integrative Biology-A 	98 Molecular & Cell Biology-Credit 	3A Chemistry-B 	C166 Religious Studies-A 	29 Music-A 	3AL Chemistry-B 	sem 2: 	major: ['Letters & Sci Undeclared']: 	3BL Chemistry-A 	3B Chemistry-B 	sem 3: 	major: ['Letters & Sci Undeclared']: 	1A Punjabi-A 	1B Biology-B 	8A Physics-A 	R5A South & SE Asian Studies-A 
label: 	['1AL Biology', '10B Mathematics', '1A Biology', '1B Punjabi']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '8B Physics', '104 Molecular & Cell Biology', '1A Chemistry', '150 Molecular & Cell Biology', '1AL Biology', '132 Integrative Biology', '7A Physics']
correct: 	['1A Biology', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	100XA Chinese-A 	1A Chemistry-B 	98 Molecular & Cell Biology-Credit 	R1B Comparative Literature-B 	1AL Chemistry-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	R1A Comparative Literature-A 	3A Chemistry-A 	1 Economics-B 	3AL Chemistry-A 	50 Film-Credit 	sem 2: 	major: ['Letters & Sci Undeclared']: 	1B Biology-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	3AC Sociology-Credit 	3BL Chemistry-A 	8A Physics-A 	3B Chemistry-A 
label: 	['1A Biology', '1AL Biology', '40 Plant Biology', '2 Psychology']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '8B Physics', '104 Molecular & Cell Biology', '1A Chemistry', '150 Molecular & Cell Biology', '132 Integrative Biology', '1AL Biology', '7A Physics']
correct: 	['1A Biology', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	1A Mathematics-B 	98 Env Sci, Policy, & Mgmt-Credit 	3AL Chemistry-A 	24 Integrative Biology-Credit 	3A Chemistry-B 	R1B English-B 	sem 1: 	major: ['Letters & Sci Undeclared']: 	45 Music-A 	3BL Chemistry-A 	3B Chemistry-C 	sem 2: 	major: ['Letters & Sci Undeclared']: 	8A Physics-C 	198 Molecular & Cell Biology-Credit 	174AC Anthropology-A 	1B Biology-B 	1A Japanese-No Credit 	sem 3: 	major: ['Letters & Sci Undeclared']: 	1AL Biology-C 	1A Biology-C 	8B Physics-C 	2 Statistics-Credit 
label: 	['C156 Integrative Biology', '137 Integrative Biology', '198 UGIS-UG Interdisc Studies', '142 Env Sci, Policy, & Mgmt']
predict: 	['4A Chemistry', '32 Molecular & Cell Biology', 'C112L Molecular & Cell Biology', '35AC Integrative Biology', '150L Molecular & Cell Biology', 'H7A Physics', 'C144 Integrative Biology', 'C62 Molecular & Cell Biology', '158LF Integrative Biology', '143 Chemistry']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	R1A Comparative Literature-A 	1A Chemistry-A 	18 Near Eastern Studies-A 	10A Mathematics-A 	1AL Chemistry-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	R1B Comparative Literature-B 	3A Chemistry-A 	10B Mathematics-A 	98 Psychology-Credit 	3AL Chemistry-A 	1B Biology-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	W1 Psychology-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	3BL Chemistry-A 	8A Physics-B 	3B Chemistry-A 	116 Public Health-Credit 	198 Public Health-Credit 	301C Chemistry-Credit 	5 Sociology-A 
label: 	['3AC Anthropology', '1AL Biology', '1A Biology', '138 Integrative Biology']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '8B Physics', '1A Chemistry', '150 Molecular & Cell Biology', '1AL Biology', '7A Physics', '132 Integrative Biology']
correct: 	['1A Biology', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	1B Biology-A 	24 Integrative Biology-Credit 	98 Public Health-Credit 	16A Mathematics-A 	R1A Comparative Literature-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	1A Chemistry-A 	3AC Anthropology-A 	16B Mathematics-A 	R5B South & SE Asian Studies-A 	1AL Chemistry-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	N3AL Chemistry-A 	3A Chemistry-B 	3 Psychology-Credit 	sem 3: 	major: ['Letters & Sci Undeclared']: 	301C Chemistry-Credit 	3BL Chemistry-A 	3B Chemistry-A 	1 Economics-B 	1 Psychology-Credit 
label: 	['1 Physical Education', '8A Physics', '1A Biology', '1 Sociology', '1AL Biology']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '8B Physics', '104 Molecular & Cell Biology', '150 Molecular & Cell Biology', '1AL Biology', '132 Integrative Biology', '7A Physics', '1B Biology']
correct: 	['1A Biology', '1AL Biology']

sem 0: 	major: ['Chemical Biology']: 	96 Chemistry-Credit 	52AC Theater Dance & Perf Stds-A 	4A Chemistry-B 	53 Mathematics-C 	sem 1: 	major: ['Chemical Biology']: 	10 Nutritional Science & Tox-A 	8A Physics-A 	3A Chemistry-A 	2 Psychology-A 	sem 2: 	major: ['Chemical Biology']: 	W187 Interdisciplinary Studies-Credit 	196 International & Area Stds-Credit 	sem 3: 	major: ['Chemical Biology']: 	3B Chemistry-B 	32L Molecular & Cell Biology-A 	32 Molecular & Cell Biology-A 	3AL Chemistry-A 	R5B Italian Studies-A 
label: 	['3AC Sociology', '11 Nutritional Science & Tox', '1A Biology', '3BL Chemistry', '1AL Biology']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '8B Physics', '104 Molecular & Cell Biology', '1A Chemistry', '132 Integrative Biology', '1AL Biology', '150 Molecular & Cell Biology', '1B Biology']
correct: 	['1A Biology', '1AL Biology']

sem 0: 	major: ['Chemistry']: 	1A Chemistry-B 	35AC Integrative Biology-Credit 	96 Chemistry-Credit 	1AL Chemistry-A 	1A Mathematics-B 	sem 1: 	major: ['Chemistry']: 	6B History-A 	R5B Scandinavian-A 	1B Biology-B 	3A Chemistry-A 	3AL Chemistry-A 	sem 2: 	major: ['Chemistry']: 	3B Chemistry-A 	10 Nutritional Science & Tox-A 	sem 3: 	major: ['Chemistry']: 	1A Biology-B 	1AL Biology-A 	27 Music-A 	C10 Astronomy-A 
label: 	['112 Public Health', '1B Mathematics', '3BL Chemistry', 'C61 Molecular & Cell Biology']
predict: 	['110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '8B Physics', '1A Chemistry', '150 Molecular & Cell Biology', '7A Physics', '132 Integrative Biology', '100B Molecular & Cell Biology', '7B Physics']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	1A Chemistry-B 	90B Molecular & Cell Biology-Credit 	1A Mathematics-A 	2AC Anthropology-A 	1AL Chemistry-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	3A Chemistry-B 	1 Economics-B 	98 Environmental Design-Credit 	117B English-A 	1B Mathematics-A 	3AL Chemistry-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	R5B Italian Studies-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	3BL Chemistry-A 	101B Economics-B 	3B Chemistry-B 	20 Statistics-C 
label: 	['117S English', '100A Economics', '8A Physics', '115 Economics']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '8B Physics', '104 Molecular & Cell Biology', '1A Chemistry', '150 Molecular & Cell Biology', '1AL Biology', '132 Integrative Biology', '7A Physics']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	5 Political Science-A 	1A Mathematics-A 	R1B English-A 	98 Molecular & Cell Biology-Credit 	98 International & Area Stds-Credit 	sem 1: 	major: ['Letters & Sci Undeclared']: 	98 English-Credit 	1B Mathematics-A 	198 Molecular & Cell Biology-Credit 	R1B Rhetoric-A 	1AL Chemistry-A 	1A Chemistry-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	3A Chemistry-B 	N3AL Chemistry-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	3B Chemistry-A 	10 Rhetoric-A 	3BL Chemistry-A 	8A Physics-A 	20 Statistics-A 
label: 	['1A Biology', '1AL Biology', '20 Rhetoric', '8B Physics']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '8B Physics', '104 Molecular & Cell Biology', '150 Molecular & Cell Biology', '132 Integrative Biology', '1AL Biology', '7A Physics', '1B Biology']
correct: 	['1A Biology', '8B Physics', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	179 Political Science-Credit 	2 Physical Education-Credit 	1A Mathematics-A 	98BC Physics-Credit 	40D Letters & Science-Credit 	24 Nuclear Engineering-A 	C62 Molecular & Cell Biology-B 	1AL Chemistry-A 	1A Chemistry-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	W1 Psychology-B 	1B Mathematics-A 	3A Chemistry-B 	3AL Chemistry-A 	R1B English-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	3B Chemistry-B 	20A Music-A 	3BL Chemistry-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	1 Physical Education-Credit 	1A Biology-B 	8A Physics-B 	20B Music-A 	61A Computer Science-Credit 	1AL Biology-B 
label: 	['1B Biology', '8B Physics', '26AC Music', '98BC Music']
predict: 	['110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '8B Physics', '1A Chemistry', '7A Physics', '150 Molecular & Cell Biology', '132 Integrative Biology', '1B Biology', '100B Molecular & Cell Biology']
correct: 	['8B Physics', '1B Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	98 Statistics-Credit 	98 Molecular & Cell Biology-Credit 	16B Mathematics-A 	1A Chemistry-B 	1 Psychology-A 	1 Anthropology-A 	1AL Chemistry-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	2 Spanish-A 	8B History-Credit 	1B Biology-B 	sem 2: 	major: ['Letters & Sci Undeclared']: 	3A Chemistry-A 	3AL Chemistry-A 	101 Psychology-A 	116 Public Health-Credit 	106 Scandinavian-A 	sem 3: 	major: ['Psychology']: 	1A Biology-B 	1AL Biology-A 
label: 	['140 Psychology', '301C Chemistry', '3BL Chemistry', '3B Chemistry', '134 Psychology']
predict: 	['132 Molecular & Cell Biology', '110 Molecular & Cell Biology', '3B Chemistry', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '8B Physics', '1A Chemistry', 'C112 Molecular & Cell Biology', '136 Molecular & Cell Biology', '4A Chemistry']
correct: 	['3B Chemistry']

sem 0: 	major: ['Letters & Sci Undeclared']: 	97 Social Welfare-Credit 	27 Music-A 	1A Chemistry-B 	98 Molecular & Cell Biology-Credit 	1AL Chemistry-A 	10A Mathematics-A 	16 Linguistics-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	3AL Chemistry-A 	3A Chemistry-B 	97 Social Welfare-Credit 	10B Mathematics-A 	R1B French-A 	98BC Architecture-Credit 	sem 2: 	major: ['Letters & Sci Undeclared']: 	W1 Psychology-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	3BL Chemistry-A 	R1B Theater Dance & Perf Stds-A 	3B Chemistry-B 	1B Biology-A 	146 Philosophy-Credit 
label: 	['128Z Music', '1 Sociology', '1A Biology', '1AL Biology', '8A Physics']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '8B Physics', '104 Molecular & Cell Biology', '1A Chemistry', '150 Molecular & Cell Biology', '132 Integrative Biology', '7A Physics', '1AL Biology']
correct: 	['1A Biology', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	1A Mathematics-A 	1AL Chemistry-A 	R1A Comparative Literature-B 	94 Peace & Conflict Studies-Credit 	1A Chemistry-B 	sem 1: 	major: ['Letters & Sci Undeclared']: 	R1B Comparative Literature-B 	C61 Molecular & Cell Biology-A 	1B Mathematics-A 	3AL Chemistry-A 	3A Chemistry-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	3BL Chemistry-A 	3B Chemistry-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	301C Chemistry-Credit 	8A Physics-A 	27AC African American Studies-Credit 	C50 East Asian Languages-A 	1B Biology-A 
label: 	['115 Tibetan', '1AL Biology', '301C Chemistry', '8B Physics', '1A Biology']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '8B Physics', '104 Molecular & Cell Biology', '1A Chemistry', '132 Integrative Biology', '150 Molecular & Cell Biology', '7A Physics', '1AL Biology']
correct: 	['1A Biology', '8B Physics', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	24 Integrative Biology-A 	98 Integrative Biology-Credit 	10A Mathematics-B 	98 Mathematics-Credit 	1A Chemistry-B 	1AL Chemistry-A 	146A French-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	100AC History-A 	3A Chemistry-A 	10B Mathematics-A 	98 Molecular & Cell Biology-Credit 	98 Mathematics-Credit 	3AL Chemistry-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	116 Public Health-Credit 	3B Chemistry-A 	3BL Chemistry-A 	1B Biology-A 	98 Public Health-Credit 	118B French-A 
label: 	['10 Optometry', '98 Energy and Resources', '1AL Biology', '4 Spanish', '1 Physical Education', '1A Biology']
predict: 	['1A Biology', '110 Molecular & Cell Biology', '104 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '8B Physics', '1A Chemistry', '150 Molecular & Cell Biology', '1AL Biology', '132 Integrative Biology', '7A Physics']
correct: 	['1A Biology', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	26 English-B 	1A Chemistry-B 	1AL Chemistry-A 	10A Mathematics-B 	24 Rhetoric-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	3A Chemistry-C 	10B Mathematics-B 	2 Political Science-A 	3AL Chemistry-A 	3AC Anthropology-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	3B Chemistry-B 	71 Native American Studies-A 	8A Physics-B 	R1A Theater Dance & Perf Stds-A 	3BL Chemistry-A 
label: 	['50AC Env Sci, Policy, & Mgmt', '1AL Biology', '8B Physics', '1A Biology']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '8B Physics', '104 Molecular & Cell Biology', '1A Chemistry', '150 Molecular & Cell Biology', '1AL Biology', '132 Integrative Biology', '7A Physics']
correct: 	['1A Biology', '8B Physics', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	10A Mathematics-B 	98 Statistics-Credit 	1A Chemistry-B 	R1A French-B 	1AL Chemistry-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	98 Philosophy-Credit 	98 Integrative Biology-Credit 	10B Mathematics-B 	3A Chemistry-B 	3AL Chemistry-A 	26AC Music-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	3BL Chemistry-A 	10 Nutritional Science & Tox-A 	3B Chemistry-A 	115 Global Poverty & Practice-A 	1B Biology-A 
label: 	['10 Business Admin-Undergrad', '1A Biology', '1AL Biology', '198 Public Health', '8A Physics']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '8B Physics', '1A Chemistry', '150 Molecular & Cell Biology', '1AL Biology', '132 Integrative Biology', '7A Physics']
correct: 	['1A Biology', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	1B Mathematics-B 	1A Chemistry-B 	1AL Chemistry-A 	1 Psychology-A 	98 Molecular & Cell Biology-Credit 	90A Molecular & Cell Biology-Credit 	sem 1: 	major: ['Letters & Sci Undeclared']: 	R1B Comparative Literature-B 	15 Molecular & Cell Biology-A 	3A Chemistry-A 	3AL Chemistry-A 	1B Biology-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	C96 Plant Biology-Credit 	115 Global Poverty & Practice-A 	116 Public Health-Credit 	3B Chemistry-A 	3BL Chemistry-A 	8A Physics-B 	98 Public Health-Credit 
label: 	['105 Global Poverty & Practice', '1AL Biology', '8B Physics', '1A Biology']
predict: 	['1A Biology', '110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '8B Physics', '1A Chemistry', '150 Molecular & Cell Biology', '1AL Biology', '132 Integrative Biology', '7A Physics']
correct: 	['1A Biology', '8B Physics', '1AL Biology']

