sem 0: 	major: ['Letters & Sci Undeclared']: 	7A Japanese-A 	5 Political Science-Credit 	C19 Psychology-Credit 	C10 Physics-B 	sem 1: 	major: ['Letters & Sci Undeclared']: 	1 Sociology-A 	166 Sociology-Credit 	2 Political Science-A 	7B History-B 	sem 2: 	major: ['Letters & Sci Undeclared']: 	1 Political Science-A 	3 Political Science-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	61A Computer Science-Credit 	R5B Slavic Languages & Lit-B 	54 Mathematics-Credit 	198 Business Admin-Undergrad-Credit 	sem 4: 	major: ['Political Science']: 	12A Philosophy-B 	112A Political Science-B 	154 Legal Studies-B 	1BX Korean-A 	149E Political Science-A 	sem 5: 	major: ['Political Science']: 	W21 Statistics-A 	sem 6: 	major: ['Political Science']: 	100A Economics-B 	190 Public Policy-B 	143B Political Science-B 	136 Economics-B 
label: 	['151 Economics', '186 Political Science', '109P Political Science', '140 Economics']
predict: 	['2 Statistics', '53 Mathematics', '20 Statistics', '100A Economics', '54 Mathematics', '140 Economics', 'C3 Economics', '10B Mathematics', '113 Mathematics', 'W21 Statistics']
correct: 	['100A Economics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	16B Mathematics-A 	C62 Molecular & Cell Biology-A 	100 Bioengineering-A 	R2B Asian American Studies-A 	98 Public Policy-Credit 	sem 1: 	major: ['Letters & Sci Undeclared']: 	29 Music-A 	C70U Letters & Science-A 	61A Computer Science-A 	10 Business Admin-Undergrad-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	W21 Statistics-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	116 Public Health-Credit 	1 Economics-A 	102A Business Admin-Undergrad-B 	160AC Env Sci, Policy, & Mgmt-Credit 
label: 	['C8 Statistics', '100A Economics', '103 Business Admin-Undergrad', '126 Near Eastern Studies']
predict: 	['2 Statistics', '53 Mathematics', '20 Statistics', '100A Economics', '54 Mathematics', '140 Economics', 'C3 Economics', '113 Mathematics', '10B Mathematics', '16B Mathematics']
correct: 	['100A Economics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	39AC Business Admin-Undergrad-A 	R1B Comparative Literature-A 	54 Mathematics-B 	61A Computer Science-B 	24 Near Eastern Studies-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	40 Plant Biology-A 	61B Computer Science-B 	98 Computer Science-Credit 	116 Public Health-Credit 	10 Business Admin-Undergrad-A 	20 Statistics-B 	sem 2: 	major: ['Letters & Sci Undeclared']: 	1 Physical Education-A 	98 Art Practice-Credit 	25A Music-A 	61C Computer Science-C 	1 Economics-A 	70 Computer Science-B 
label: 	['100A Economics', '115 Economics', '1 Cognitive Science', '9A Computer Science', '100 Linguistics']
predict: 	['53 Mathematics', '2 Statistics', '100A Economics', '54 Mathematics', '140 Economics', 'C3 Economics', '10B Mathematics', '113 Mathematics', '16B Mathematics', 'W21 Statistics']
correct: 	['100A Economics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	62 History of Art-B 	98BC Env Sci, Policy, & Mgmt-Credit 	51 Linguistics-B 	16A Mathematics-B 	40D Letters & Science-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	10 Business Admin-Undergrad-A 	16B Mathematics-C 	8 Art Practice-A 	10 Nutritional Science & Tox-Credit 	sem 2: 	major: ['Letters & Sci Undeclared']: 	C70U Letters & Science-Credit 	1 Economics-B 	45 International & Area Stds-B 	198 Film-Credit 
label: 	['124B History', '100A Economics', '198 English', '20 Statistics']
predict: 	['2 Statistics', '53 Mathematics', '100A Economics', '20 Statistics', '54 Mathematics', '140 Economics', 'C3 Economics', '10B Mathematics', 'W21 Statistics', '113 Mathematics']
correct: 	['100A Economics', '20 Statistics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	98 Cognitive Science-Credit 	1 Sociology-A 	R1A Comparative Literature-A 	C64 Molecular & Cell Biology-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	1A Mathematics-A 	11 History of Art-A 	24 English-Credit 	R1B Rhetoric-A 	4 Political Science-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	1 Economics-A 	16B Mathematics-A 	31AC English-A 	45B English-B 
label: 	['20 Statistics', '45C English', '100A Economics', '117S English']
predict: 	['2 Statistics', '53 Mathematics', '20 Statistics', '100A Economics', '54 Mathematics', '140 Economics', 'C3 Economics', '10B Mathematics', '113 Mathematics', 'W21 Statistics']
correct: 	['20 Statistics', '100A Economics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	1 Letters & Science-Credit 	1B Mathematics-C 	R1A Comparative Literature-B 	10 Business Admin-Undergrad-B 	sem 1: 	major: ['Letters & Sci Undeclared']: 	110 East Asian Languages-B 	10 Nutritional Science & Tox-B 	W21 Statistics-F 	1 Economics-B 	sem 2: 	major: ['Letters & Sci Undeclared']: 	R44 Classics-B 	53 Mathematics-C 	C82 Earth & Planetary Science-A 	21 Statistics-A 
label: 	['55 Mathematics', '29 Music', '1A Mathematics']
predict: 	['2 Statistics', '20 Statistics', '100A Economics', '54 Mathematics', '140 Economics', 'C3 Economics', '16B Mathematics', '113 Mathematics', '10B Mathematics', '128A Mathematics']
correct: 	[]

sem 0: 	major: ['CNR Undeclared']: 	16A Mathematics-A 	10 Asian Studies-A 	10 Plant Biology-A 	R1A Film-A 	sem 1: 	major: ['CNR Undeclared']: 	10 Business Admin-Undergrad-A 	1 Economics-B 	1A Chemistry-C 	1AL Chemistry-B 	16B Mathematics-A 	sem 2: 	major: ['CNR Undeclared']: 	2 Env Sci, Policy, & Mgmt-Credit 	R1B Linguistics-A 	10 American Studies-B 	3 Political Science-A 
label: 	['20 Statistics', '1 Political Science', '100A Economics', '10B Classics']
predict: 	['2 Statistics', '100A Economics', '20 Statistics', '54 Mathematics', '140 Economics', 'C3 Economics', '10B Mathematics', '113 Mathematics', 'W21 Statistics', '1B Mathematics']
correct: 	['100A Economics', '20 Statistics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	39L Journalism-B 	25A Philosophy-B 	10 Astronomy-B 	R1B English-B 	98 African American Studies-No Credit 	sem 1: 	major: ['Letters & Sci Undeclared']: 	C61 Molecular & Cell Biology-Credit 	98 Public Health-Credit 	54 Mathematics-C 	98 Theater Dance & Perf Stds-Credit 	10 Computer Science-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	100AX Korean-A 	97 Computer Science-Credit 	61A Computer Science-Credit 	98 Public Health-Credit 	C70Y Letters & Science-A 	20A Asian American Studies-A 
label: 	['183 Education', '1 Economics', '190AC Education', '100BX Korean']
predict: 	['2 Statistics', '100A Economics', '20 Statistics', '1 Economics', '140 Economics', '16B Mathematics', 'C3 Economics', '10B Mathematics', '113 Mathematics', 'W21 Statistics']
correct: 	['1 Economics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	98 Education-Credit 	103A Rhetoric-Credit 	2 Env Sci, Policy, & Mgmt-A 	21 Statistics-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	4 Political Science-A 	10 Business Admin-Undergrad-A 	16B Mathematics-A 	70B Letters & Science-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	98 Computer Science-Credit 	54 Mathematics-B 	1 Psychology-A 	1 Economics-B 
label: 	['101A Economics', '134 Statistics', '53 Mathematics', '115 Tibetan']
predict: 	['2 Statistics', '53 Mathematics', '20 Statistics', '100A Economics', '140 Economics', 'C3 Economics', '10B Mathematics', '113 Mathematics', 'W21 Statistics', '1B Mathematics']
correct: 	['53 Mathematics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	10 Plant Biology-B 	1A Mathematics-C 	10 Computer Science-A 	R1A Comparative Literature-B 	sem 1: 	major: ['Letters & Sci Undeclared']: 	R1B Film-A 	16B Mathematics-B 	109 Near Eastern Studies-A 	39C Slavic Languages & Lit-A 	10 Business Admin-Undergrad-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	1 Economics-A 	191C Business Admin-Undergrad-B 	C52 South & SE Asian Studies-A 	39AC Business Admin-Undergrad-B 
label: 	['W21 Statistics', '100A Economics', 'W1 Psychology', '98 Sociology']
predict: 	['2 Statistics', '53 Mathematics', '100A Economics', '20 Statistics', '54 Mathematics', '140 Economics', 'C3 Economics', '10B Mathematics', '113 Mathematics', 'W21 Statistics']
correct: 	['100A Economics', 'W21 Statistics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	1 Economics-B 	C10 Astronomy-Credit 	R1B English-A 	16B Mathematics-B 	sem 1: 	major: ['Letters & Sci Undeclared']: 	W21 Statistics-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	6 Env Sci, Policy, & Mgmt-A 	3AC Sociology-A 	10 Business Admin-Undergrad-A 	1A Japanese-A 
label: 	['100A Economics', '128 Music', '1B Japanese', 'C160V Letters & Science']
predict: 	['2 Statistics', '53 Mathematics', '20 Statistics', '100A Economics', '54 Mathematics', '140 Economics', '1 Economics', 'C3 Economics', '10B Mathematics', '113 Mathematics']
correct: 	['100A Economics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	10 Business Admin-Undergrad-A 	98BC Env Sci, Policy, & Mgmt-Credit 	16A Mathematics-B 	1 Letters & Science-Credit 	C140V Letters & Science-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	16B Mathematics-B 	28AC African American Studies-A 	R1B Comparative Literature-A 	70A Letters & Science-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	C30T Letters & Science-A 	116 Public Health-Credit 	105 Economics-A 	1 Economics-A 
label: 	['128Z Music', '130 Geography', '96 Business Admin-Undergrad', '20 Statistics']
predict: 	['2 Statistics', '53 Mathematics', '20 Statistics', '100A Economics', '54 Mathematics', '140 Economics', 'C3 Economics', '10B Mathematics', '113 Mathematics', 'W21 Statistics']
correct: 	['20 Statistics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	16B Mathematics-B 	29 Music-A 	1 Economics-B 	20B Asian American Studies-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	W21 Statistics-B 	sem 2: 	major: ['Letters & Sci Undeclared']: 	10 Business Admin-Undergrad-B 	198 Business Admin-Undergrad-Credit 	C167 Sociology-A 	121 Sociology-B 
label: 	['95 Industrial Eng & Ops Rsch', '100A Economics', '190A Industrial Eng & Ops Rsch', '171 Comparative Literature', '170 Business Admin-Undergrad', 'R5B Italian Studies']
predict: 	['2 Statistics', '53 Mathematics', '100A Economics', '20 Statistics', '54 Mathematics', '140 Economics', '1 Economics', 'C3 Economics', '16B Mathematics', '10B Mathematics']
correct: 	['100A Economics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	1A Mathematics-B 	C82 Geography-A 	98BC Sociology-Credit 	1 Political Science-A 	18 Philosophy-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	20A Music-A 	R1B Comparative Literature-B 	10 Business Admin-Undergrad-B 	24 Materials Science & Eng-Credit 	97 Education-Credit 	50AC Geography-A 	1B Mathematics-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	10 Nutritional Science & Tox-A 	1 Physical Education-Credit 	1 German-B 	1 Economics-B 	98 Psychology-Credit 
label: 	['168 Psychology', '100A Economics', '20 Statistics', '198 Ethnic Studies', '190AC Education']
predict: 	['2 Statistics', '53 Mathematics', '20 Statistics', '54 Mathematics', '100A Economics', '140 Economics', 'C3 Economics', '10B Mathematics', '113 Mathematics', 'W21 Statistics']
correct: 	['20 Statistics', '100A Economics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	C19 Psychology-B 	1A Mathematics-A 	10 Plant Biology-A 	20 Statistics-C 	sem 1: 	major: ['Letters & Sci Undeclared']: 	C10 Astronomy-A 	1B Mathematics-A 	10 Business Admin-Undergrad-A 	118AC City & Regional Planning-B 	sem 2: 	major: ['Letters & Sci Undeclared']: 	105 Economics-B 	54 Mathematics-F 	61A Computer Science-Credit 	1 Economics-B 
label: 	['134 Statistics', '53 Mathematics', 'C160V Letters & Science', '100A Economics']
predict: 	['2 Statistics', '100A Economics', '20 Statistics', '140 Economics', '16B Mathematics', 'C3 Economics', '113 Mathematics', '10B Mathematics', '128A Mathematics', 'W21 Statistics']
correct: 	['100A Economics']

sem 0: 	major: ['CNR Undeclared']: 	C77 English-A 	24 English-Credit 	98 Music-Credit 	98 Electrical Engineering-Credit 	1A Mathematics-A 	C12 Astronomy-Credit 	sem 1: 	major: ['CNR Undeclared']: 	C115C Env Sci, Policy, & Mgmt-A 	98BC Env Sci, Policy, & Mgmt-Credit 	C101 Natural Resources-Credit 	98 Psychology-Credit 	98 Theater Dance & Perf Stds-Credit 	1B Mathematics-A 	R4B College Writing Programs-A 	sem 2: 	major: ['CNR Undeclared']: 	20 Statistics-B 	1 Economics-A 	186AC Education-A 	27 Music-Credit 
label: 	['174 Geography', '98BC Env Sci, Policy, & Mgmt', '100A Economics', '133 Statistics', '10 Business Admin-Undergrad', '198 Film']
predict: 	['53 Mathematics', '2 Statistics', '100A Economics', '54 Mathematics', '140 Economics', 'C3 Economics', '113 Mathematics', '10B Mathematics', '16B Mathematics', 'W21 Statistics']
correct: 	['100A Economics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	98 Asian American Studies-Credit 	20A Music-A 	1 Economics-B 	10 Asian Studies-Credit 	16A Mathematics-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	21 College Writing Programs-B 	98BC Music-Credit 	1 French-Credit 	16B Mathematics-A 	20 Statistics-B 	sem 2: 	major: ['Letters & Sci Undeclared']: 	R5B German-B 	sem 3: 	major: ['Letters & Sci Undeclared']: 	1A Korean-A 	100A Economics-A 	6 Env Sci, Policy, & Mgmt-A 	18 Philosophy-Credit 
label: 	['1B Korean', 'R4B College Writing Programs', 'C171 Economics']
predict: 	['2 Statistics', '53 Mathematics', '54 Mathematics', '1 Economics', '140 Economics', 'C3 Economics', '113 Mathematics', '10B Mathematics', 'W21 Statistics', '128A Mathematics']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	10 Geography-Credit 	98 Business Admin-Undergrad-Credit 	2AC Anthropology-A 	16B Mathematics-B 	sem 1: 	major: ['Letters & Sci Undeclared']: 	143 Music-A 	10 Business Admin-Undergrad-B 	C10 Physics-Credit 	R5B Slavic Languages & Lit-B 	10 Nutritional Science & Tox-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	1 Economics-B 	198 Business Admin-Undergrad-Credit 	R5A Scandinavian-B 	1A Malay/Indonesian-A 
label: 	['20 Statistics', '16B Mathematics', '100A Economics', '1B Malay/Indonesian']
predict: 	['2 Statistics', '53 Mathematics', '100A Economics', '20 Statistics', '54 Mathematics', '140 Economics', 'C3 Economics', '16B Mathematics', '10B Mathematics', '113 Mathematics']
correct: 	['100A Economics', '20 Statistics', '16B Mathematics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	15 Env Sci, Policy, & Mgmt-A 	98 Business Admin-Undergrad-Credit 	25A Film-A 	16A Mathematics-A 	11 Theater Dance & Perf Stds-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	R1B Film-A 	16B Mathematics-B 	10 Business Admin-Undergrad-A 	C10 Astronomy-Credit 	sem 2: 	major: ['Letters & Sci Undeclared']: 	1 Sociology-A 	10 Geography-A 	1 Economics-A 
label: 	['20 Statistics', '142AC African American Studies', '139 Music']
predict: 	['2 Statistics', '53 Mathematics', '20 Statistics', '100A Economics', '54 Mathematics', '140 Economics', 'C3 Economics', '10B Mathematics', '113 Mathematics', 'W21 Statistics']
correct: 	['20 Statistics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	C10 Physics-A 	2 Env Sci, Policy, & Mgmt-A 	1A Mathematics-B 	R1B English-B 	1 Letters & Science-Credit 	sem 1: 	major: ['Letters & Sci Undeclared']: 	1 French-A 	1 Economics-B 	1B Mathematics-B 	sem 2: 	major: ['Letters & Sci Undeclared']: 	121 Sociology-A 	10A Classics-Credit 	20 Statistics-C 	53 Mathematics-B 
label: 	['55 Mathematics', '100A Economics', '54 Mathematics']
predict: 	['2 Statistics', '100A Economics', '54 Mathematics', '140 Economics', 'C3 Economics', '113 Mathematics', '10B Mathematics', '16B Mathematics', 'W21 Statistics', '128A Mathematics']
correct: 	['100A Economics', '54 Mathematics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	54 Mathematics-B 	1 Economics-A 	C142 South Asian-B 	61A Computer Science-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	W21 Statistics-A 	61BL Computer Science-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	27 Music-B 	61C Computer Science-B 	50AC Env Sci, Policy, & Mgmt-Credit 	70 Computer Science-B 
label: 	['100A Economics', '16A Electrical Engineering', '188 Computer Science', '34 Classics']
predict: 	['2 Statistics', '53 Mathematics', '20 Statistics', '100A Economics', '54 Mathematics', '1 Economics', '140 Economics', 'C3 Economics', '10B Mathematics', '113 Mathematics']
correct: 	['100A Economics']

sem 0: 	major: ['Architecture']: 	C62 Molecular & Cell Biology-B 	16A Mathematics-B 	1 Economics-B 	3 Philosophy-Credit 	sem 1: 	major: ['Architecture']: 	7B Korean-A 	16B Mathematics-A 	C10 Astronomy-B 	10 Business Admin-Undergrad-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	100A Economics-B 	160AC Env Sci, Policy, & Mgmt-B 	20 Statistics-C 	80 Earth & Planetary Science-B 
label: 	['136 Economics', 'C159 Env Sci, Policy, & Mgmt', 'C175 Economics', '98 Nutritional Science & Tox']
predict: 	['2 Statistics', '53 Mathematics', '54 Mathematics', '140 Economics', '1 Economics', 'C3 Economics', '113 Mathematics', '10B Mathematics', 'W21 Statistics', '128A Mathematics']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	32 Physical Education-A 	R1A English-A 	16A Mathematics-A 	40D Letters & Science-A 	39AC Business Admin-Undergrad-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	10 Business Admin-Undergrad-A 	C10 Physics-A 	16B Mathematics-A 	R1B English-A 	160B Letters & Science-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	5 Political Science-A 	98 Public Policy-Credit 	1 Economics-A 	100 Legal Studies-A 	C5 Business Admin-Undergrad-A 	21 Statistics-A 
label: 	['100A Economics', '20 Rhetoric', '115 Economics', '102A Business Admin-Undergrad']
predict: 	['2 Statistics', '53 Mathematics', '20 Statistics', '54 Mathematics', '100A Economics', '140 Economics', 'C3 Economics', '10B Mathematics', '113 Mathematics', 'W21 Statistics']
correct: 	['100A Economics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	1A Mathematics-B 	7A History-A 	1 Economics-A 	98BC Mathematics-Credit 	98BC Sociology-Credit 	sem 1: 	major: ['Letters & Sci Undeclared']: 	103B Hindi-Urdu-A 	1 French-A 	R1A English-A 	10 Business Admin-Undergrad-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	39D Legal Studies-Credit 	16B Mathematics-A 	10 Peace & Conflict Studies-A 	2 French-A 	R5B Anthropology-A 
label: 	['3 French', '100A Economics', '20 Statistics', '11 History of Art']
predict: 	['2 Statistics', '53 Mathematics', '20 Statistics', '100A Economics', '54 Mathematics', '140 Economics', '1 Economics', 'C3 Economics', '10B Mathematics', '113 Mathematics']
correct: 	['20 Statistics', '100A Economics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	2 Political Science-A 	29 Music-A 	16B Mathematics-B 	98 Public Policy-Credit 	1 Economics-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	W21 Statistics-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	C188 Landscape Arch & Env Plan-A 	100A Economics-A 	10 Business Admin-Undergrad-A 	161 Env Sci, Policy, & Mgmt-A 	1A Chinese-A 
label: 	['187 Geography', '118AC City & Regional Planning', '1B Chinese', 'R1B Comparative Literature']
predict: 	['2 Statistics', '53 Mathematics', '20 Statistics', '54 Mathematics', '140 Economics', 'C3 Economics', '1 Economics', '113 Mathematics', '10B Mathematics', '16B Mathematics']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	C10 Astronomy-A 	29 Music-A 	10 Peace & Conflict Studies-A 	16B Mathematics-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	W21 Statistics-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	145 Legal Studies-A 	12A Philosophy-B 	1 Economics-A 	50AC Env Sci, Policy, & Mgmt-A 
label: 	['100A Economics', 'C175 Economics', 'C8 Statistics', '10 Business Admin-Undergrad']
predict: 	['2 Statistics', '53 Mathematics', '20 Statistics', '100A Economics', '54 Mathematics', '140 Economics', 'C3 Economics', '10B Mathematics', '113 Mathematics', '16B Mathematics']
correct: 	['100A Economics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	12A Philosophy-A 	98 Statistics-Credit 	21 Statistics-B 	R1A Comparative Literature-B 	sem 1: 	major: ['Letters & Sci Undeclared']: 	50AC Env Sci, Policy, & Mgmt-A 	10 Business Admin-Undergrad-B 	16A Mathematics-A 	C10 Astronomy-Credit 	sem 2: 	major: ['Letters & Sci Undeclared']: 	C19 Psychology-Credit 	16B Mathematics-A 	R1A Comparative Literature-C 	1 Economics-B 
label: 	['R5B South & SE Asian Studies', '100A Economics', 'C175 Economics']
predict: 	['2 Statistics', '53 Mathematics', '20 Statistics', '100A Economics', '54 Mathematics', '140 Economics', 'C3 Economics', '10B Mathematics', '113 Mathematics', 'W21 Statistics']
correct: 	['100A Economics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	1A Korean-A 	1 Psychology-Credit 	1 Sociology-Credit 	97 Social Welfare-Credit 	16A Mathematics-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	25B Philosophy-Credit 	16B Mathematics-B 	R5B German-A 	10 Business Admin-Undergrad-B 	sem 2: 	major: ['Letters & Sci Undeclared']: 	98 Psychology-Credit 	1X Chinese-A 	115 Global Poverty & Practice-A 	1 Economics-A 
label: 	['10 Nutritional Science & Tox', '3AC Anthropology', 'W21 Statistics', '100A Economics']
predict: 	['2 Statistics', '53 Mathematics', '20 Statistics', '100A Economics', '54 Mathematics', '140 Economics', 'C3 Economics', '10B Mathematics', '113 Mathematics', 'W21 Statistics']
correct: 	['100A Economics', 'W21 Statistics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	98BC History-Credit 	R1B English-B 	179 Political Science-Credit 	4A History-B 	16A Mathematics-B 	sem 1: 	major: ['Letters & Sci Undeclared']: 	2 Political Science-B 	98BC Sociology-No Credit 	1 Economics-B 	142AC African American Studies-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	16B Mathematics-A 	3 Political Science-A 	20 Statistics-B 	10 Business Admin-Undergrad-A 
label: 	['1 Political Science', '100A Economics', '98BC Architecture', '98BC Env Sci, Policy, & Mgmt', '10 Nutritional Science & Tox']
predict: 	['2 Statistics', '53 Mathematics', '100A Economics', '54 Mathematics', '140 Economics', 'C3 Economics', '10B Mathematics', '113 Mathematics', 'W21 Statistics', '128A Mathematics']
correct: 	['100A Economics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	41AC Ethnic Studies-Credit 	53 Mathematics-A 	98 Public Policy-Credit 	1 Economics-A 	39AC Business Admin-Undergrad-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	10 Business Admin-Undergrad-A 	1 Psychology-A 	3AL Chemistry-A 	98 Mechanical Engineering-Credit 	3A Chemistry-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	1B Biology-A 	39D Legal Studies-A 	3BL Chemistry-A 	20 Statistics-A 	3B Chemistry-A 	98 Mathematics-Credit 
label: 	['C103 Public Policy', '1AL Biology', '98BC Architecture', '1A Biology', '8A Physics', '102A Business Admin-Undergrad']
predict: 	['2 Statistics', '53 Mathematics', '54 Mathematics', '100A Economics', '140 Economics', 'C3 Economics', '1 Economics', '10B Mathematics', '113 Mathematics', 'W21 Statistics']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	98 Public Policy-Credit 	1 Psychology-A 	C165 Religious Studies-B 	16A Mathematics-A 	18 Near Eastern Studies-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	16B Mathematics-A 	40 Plant Biology-Credit 	26AC Music-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	1 Economics-B 	7 Sociology-A 	C70U Letters & Science-Credit 	10 Business Admin-Undergrad-B 	98 Gender & Womens Studies-Credit 
label: 	['144 Psychology', '100A Economics', '1 Political Science', '7B History', '198 Business Admin-Undergrad']
predict: 	['2 Statistics', '53 Mathematics', '20 Statistics', '100A Economics', '54 Mathematics', '140 Economics', 'C3 Economics', '10B Mathematics', '113 Mathematics', 'W21 Statistics']
correct: 	['100A Economics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	10 Nutritional Science & Tox-A 	98 Psychology-Credit 	98 Computer Science-Credit 	16A Mathematics-B 	10 Theater Dance & Perf Stds-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	2 Political Science-B 	10 Business Admin-Undergrad-B 	16B Mathematics-B 	C10 Astronomy-Credit 	sem 2: 	major: ['Letters & Sci Undeclared']: 	1 Economics-B 	10 Media Studies-B 	2 French-B 
label: 	['W21 Statistics', '50AC Env Sci, Policy, & Mgmt', '45 International & Area Stds', '126 Theater Dance & Perf Stds', '190T Business Admin-Undergrad']
predict: 	['2 Statistics', '53 Mathematics', '20 Statistics', '100A Economics', '54 Mathematics', '140 Economics', 'C3 Economics', '10B Mathematics', '113 Mathematics', 'W21 Statistics']
correct: 	['W21 Statistics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	C12 Earth & Planetary Science-B 	16A Mathematics-A 	R2B Asian American Studies-B 	24 Integrative Biology-Credit 	98 Psychology-Credit 	sem 1: 	major: ['Letters & Sci Undeclared']: 	C30U Letters & Science-Credit 	10 Business Admin-Undergrad-C 	16B Mathematics-C 	sem 2: 	major: ['Letters & Sci Undeclared']: 	C32 Geography-A 	2 Physical Education-Credit 	116 Public Health-Credit 	35AC Integrative Biology-B 	1 Economics-B 
label: 	['3AC Anthropology', '133 Economics', '45 International & Area Stds', '20 Statistics']
predict: 	['2 Statistics', '53 Mathematics', '100A Economics', '20 Statistics', '54 Mathematics', '140 Economics', 'C3 Economics', '10B Mathematics', '113 Mathematics', 'W21 Statistics']
correct: 	['20 Statistics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	R1A French-A 	16A Mathematics-A 	51 Linguistics-B 	3AC Sociology-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	R1B History of Art-A 	11 History of Art-A 	16B Mathematics-C 	C10 Physics-Credit 	sem 2: 	major: ['Letters & Sci Undeclared']: 	121 Sociology-B 	141 Anthropology-Credit 	C62 Molecular & Cell Biology-B 	10 Business Admin-Undergrad-B 	1 Economics-B 
label: 	['175 History of Art', '20 Statistics', '1 Psychology', 'C126 Psychology']
predict: 	['2 Statistics', '53 Mathematics', '20 Statistics', '100A Economics', '54 Mathematics', '140 Economics', 'C3 Economics', '10B Mathematics', '113 Mathematics', 'W21 Statistics']
correct: 	['20 Statistics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	98 Political Science-Credit 	C142 South Asian-A 	54 Mathematics-F 	61A Computer Science-D 	sem 1: 	major: ['Letters & Sci Undeclared']: 	W21 Statistics-B 	W12 Astronomy-Credit 	sem 2: 	major: ['Letters & Sci Undeclared']: 	C140 South Asian-B 	140AC Education-C 	80 Earth & Planetary Science-A 	1 Economics-C 
label: 	['115 Economics', '100A Economics', '54 Mathematics', '10 Nutritional Science & Tox']
predict: 	['133 Statistics', '100 Environ Econ & Policy', '121B Mathematics', '143 Environ Econ & Policy', '128B Mathematics', 'C175 Environ Econ & Policy', 'C125 Economics', '174 Economics', '153 Mathematics', '118 Mathematics']
correct: 	[]

